58513	3661
47712	3661
52235	3661
46121	3661
58513	68236
46121	68236
58513	49346
46121	49346
47712	49346
52235	49346
58513	51247
46121	51247
58513	49993
46121	49993
58513	8345
46121	8345
58513	9294
46121	9294
58513	3770
46121	3770
58513	60534
46121	60534
58513	14942
47712	14942
52235	14942
46121	14942
58513	52810
46121	52810
58513	23065
47712	23065
52235	23065
46121	23065
58513	20152
58513	69301
46121	69301
58513	55186
46121	55186
58513	46759
46121	46759
58513	38812
46121	38812
58513	55453
47712	55453
52235	55453
46121	55453
58513	40004
46121	40004
58513	43903
46121	43903
47712	43903
52235	43903
58513	20626
47712	20626
52235	20626
46121	20626
58513	28536
58513	67268
47712	67268
52235	67268
46121	67268
58513	22631
58513	5940
47712	5940
52235	5940
46121	5940
58513	52957
47712	52957
52235	52957
58513	51426
47712	51426
52235	51426
46121	51426
58513	18052
46121	18052
58513	42017
47712	42017
52235	42017
46121	42017
58513	20781
47712	20781
52235	20781
46121	20781
58513	44543
47712	44543
52235	44543
46121	44543
58513	5515
47712	5515
52235	5515
46121	5515
58513	43852
47712	43852
52235	43852
46121	43852
58513	40484
46121	40484
58513	28734
58513	66253
58513	27151
58513	36929
47712	36929
52235	36929
46121	36929
58513	22193
47712	22193
52235	22193
46121	22193
58513	27803
47712	27803
52235	27803
46121	27803
58513	54899
47712	54899
52235	54899
46121	54899
58513	40839
46121	40839
58513	6259
46121	6259
47712	6259
52235	6259
58513	18392
46121	18392
58513	45144
46121	45144
58513	67600
58513	11687
58513	52744
58513	6667
46121	6667
47712	6667
52235	6667
58513	2461
46121	2461
58513	9472
46121	9472
58513	46300
46121	46300
58513	34664
58513	24301
47712	24301
52235	24301
46121	24301
58513	39797
47712	39797
52235	39797
46121	39797
58513	38343
46121	38343
47712	38343
52235	38343
58513	45590
46121	45590
58513	30684
47712	30684
52235	30684
46121	30684
58513	32926
47712	32926
52235	32926
46121	32926
58513	52417
47712	52417
52235	52417
46121	52417
58513	21273
47712	21273
52235	21273
46121	21273
58513	47935
47712	47935
52235	47935
46121	47935
58513	36164
47712	36164
52235	36164
46121	36164
58513	56888
47712	56888
52235	56888
58513	28159
47712	28159
52235	28159
46121	28159
58513	33663
47712	33663
52235	33663
46121	33663
58513	10812
47712	10812
52235	10812
46121	10812
58513	26909
47712	26909
52235	26909
46121	26909
58513	38378
46121	38378
58513	18315
46121	18315
58513	34058
46121	34058
58513	14134
47712	14134
52235	14134
46121	14134
58513	60134
46121	60134
47712	60134
52235	60134
58513	56993
47712	56993
52235	56993
46121	56993
58513	54642
46121	54642
47712	54642
52235	54642
58513	6573
47712	6573
52235	6573
46121	6573
58513	31755
47712	31755
52235	31755
58513	16621
47712	16621
52235	16621
46121	16621
58513	42940
47712	42940
52235	42940
46121	42940
58513	27625
46121	27625
58513	26654
47712	26654
52235	26654
58513	21599
46121	21599
58513	770
47712	770
52235	770
46121	770
58513	68906
47712	68906
52235	68906
46121	68906
58513	21619
47712	21619
52235	21619
46121	21619
58513	41063
47712	41063
52235	41063
46121	41063
58513	46386
47712	46386
52235	46386
58513	30198
47712	30198
52235	30198
46121	30198
58513	37103
46121	37103
47712	37103
52235	37103
58513	46120
46121	46120
58513	40358
47712	40358
52235	40358
46121	40358
58513	54423
47712	54423
52235	54423
46121	54423
58513	13258
46121	13258
58513	201
47712	201
52235	201
46121	201
58513	32681
46121	32681
58513	22238
46121	22238
58513	40514
47712	40514
52235	40514
46121	40514
