60485	1	54199
18575	1	54199
18575	1	69808
18575	1	17688
16341	1	54199
16341	1	40277
16341	1	2767
16341	1	62684
16341	1	62943
16341	1	62576
16341	1	35932
16341	1	35031
16341	1	6456
16341	1	37823
16341	1	67998
16341	1	25032
16341	1	29174
16341	1	49179
30655	1	11613
27220	1	36738
27220	1	47241
1926	1	19347
43787	1	4617
23397	1	6554
23397	1	56248
17530	1	6554
17530	1	57068
71154	1	54199
71154	1	40315
71154	1	57453
71154	1	31381
15991	1	54199
15991	1	40315
15991	1	57453
15991	1	71154
15991	1	31381
70149	1	28161
35489	1	54199
35489	1	69367
30270	1	50407
12870	1	50407
56491	1	50407
40556	1	28856
34064	1	41515
3922	1	41921
3922	1	6807
3922	1	41515
33512	1	54199
33512	1	35532
18195	1	13656
43503	1	20689
34271	1	57207
52998	1	57207
46944	1	69179
59700	1	57207
16031	1	42209
71463	1	34677
61031	1	57291
61031	1	8936
18983	1	66262
50772	1	67668
37771	1	32309
37771	1	71362
36000	1	32309
36000	1	71362
19330	1	32309
19330	1	71362
19330	1	22731
1767	1	20171
1767	1	62409
61419	1	17245
11379	1	45572
10262	1	44826
26186	1	54199
12606	1	54199
12606	1	26186
12606	1	58791
9866	1	26186
68048	1	54199
68048	1	38540
68048	1	58791
43169	1	54199
43169	1	17180
43169	1	31683
43169	1	35372
9804	1	54199
53854	1	54199
53854	1	21062
23581	1	54199
26513	1	54199
68889	1	67566
26613	1	54199
69066	1	54199
5045	1	3315
5045	1	26513
5045	1	31683
11600	1	54199
11600	1	13852
36303	1	54199
36303	1	59450
52068	1	54199
52068	1	71439
8913	1	54199
8913	1	71439
8913	1	16947
39809	1	19200
39809	1	56503
22707	1	54199
22707	1	9050
60357	1	54199
60357	1	49107
40150	1	54199
40150	1	35392
29992	1	54199
29992	1	19200
26707	1	54199
7875	1	54199
7875	1	22556
7875	1	62929
7875	1	69551
7875	1	65161
7875	1	57305
69955	1	54199
69955	1	40277
69955	1	69367
47069	1	54199
47069	1	48793
14656	1	54199
14656	1	48793
6380	1	54199
6380	1	17180
6380	1	8441
6380	1	62414
6380	1	49095
39483	1	54199
59892	1	54199
59892	1	49061
29389	1	54199
29389	1	49061
28605	1	54199
28605	1	49061
61799	1	54199
61799	1	8372
24273	1	61890
24273	1	45529
24273	1	5252
24273	1	7506
24273	1	33550
24273	1	23768
24273	1	14261
24273	1	13496
24273	1	64577
24273	1	24273
24273	1	12809
24273	1	70643
24273	1	21026
24273	1	20358
24273	1	22259
24273	1	41114
2309	1	54199
2309	1	22556
2309	1	68935
2309	1	69551
2309	1	65161
2309	1	57305
7989	1	54199
7989	1	40277
7989	1	3418
7182	1	54199
7182	1	51289
30128	1	54199
30128	1	40277
67675	1	2785
24484	1	54199
24484	1	68179
24484	1	29174
25785	1	54199
4080	1	54199
4080	1	25785
26422	1	54199
26422	1	33747
45771	1	54199
45771	1	30127
39130	1	54199
39130	1	33555
48866	1	54199
48866	1	10862
10541	1	54199
10541	1	6648
10541	1	10862
41000	1	54199
41000	1	10541
17916	1	54199
17916	1	4707
17916	1	33555
6993	1	54199
6993	1	4707
20266	1	54199
20266	1	33555
33555	1	54199
33555	1	6648
33555	1	10862
6648	1	54199
2766	1	54199
2766	1	6648
19177	1	54199
19177	1	6648
19177	1	64804
19177	1	3871
68288	1	6648
68288	1	3871
63699	1	54199
63699	1	71426
52473	1	54199
52473	1	2724
54335	1	54199
7480	1	54335
23044	1	54199
23044	1	23988
32335	1	54199
32162	1	54199
32162	1	32335
68086	1	54199
68086	1	32335
34805	1	54199
31346	1	34395
30618	1	54199
30618	1	7380
5585	1	7380
69520	1	54199
69520	1	41158
12514	1	69520
12514	1	10377
12514	1	41158
39534	1	54199
39534	1	69520
10377	1	54199
50106	1	54199
50106	1	10377
60442	1	54199
42105	1	54199
42105	1	60442
70544	1	54199
70544	1	41158
41158	1	54199
54862	1	54199
54862	1	41158
14846	1	54199
14846	1	620
14846	1	23917
14846	1	14209
14846	1	67148
14846	1	5245
14846	1	39733
14846	1	63224
27461	1	54199
27461	1	14846
22991	1	5245
22991	1	69520
4168	1	54199
4168	1	5245
67148	1	54199
67148	1	32981
17242	1	54199
17242	1	67148
39128	1	54199
165	1	54199
165	1	39128
165	1	14846
53919	1	54199
53919	1	7380
53919	1	39128
58768	1	54199
58768	1	39128
14209	1	54199
11107	1	54199
11107	1	14209
53060	1	54199
53060	1	43681
53060	1	7380
53060	1	34460
53060	1	22075
31418	1	54199
31418	1	43681
13025	1	54199
32350	1	54199
32350	1	13025
39733	1	54199
39733	1	13025
25975	1	54199
25975	1	39733
620	1	54199
53490	1	54199
53490	1	620
16575	1	35932
37678	1	54199
51852	1	54199
71418	1	54199
11207	1	54199
11207	1	51852
11207	1	71418
11207	1	6076
16410	1	54199
10445	1	36059
10445	1	31683
28098	1	54199
28098	1	12175
28098	1	29031
15779	1	54199
15779	1	12175
15779	1	21500
15779	1	54605
41443	1	54199
41443	1	12175
41443	1	21500
41443	1	54605
26171	1	26446
50735	1	54199
50735	1	68329
50735	1	16722
29101	1	54199
29101	1	22162
29101	1	63931
29101	1	49061
29101	1	51289
24968	1	54199
24968	1	42257
3418	1	54199
3418	1	40277
3418	1	4700
3418	1	39959
3418	1	69544
3418	1	3418
9730	1	54199
9730	1	29174
15065	1	54199
15065	1	40277
15065	1	22285
4648	1	54199
4648	1	28198
4648	1	22571
4648	1	5493
41617	1	54199
41617	1	13803
41617	1	69808
41617	1	7220
22061	1	69808
22061	1	18066
22061	1	13034
33768	1	54199
33768	1	4184
20728	1	16567
16670	1	23056
6402	1	60052
12494	1	60052
37002	1	51803
68307	1	54199
68307	1	51289
68307	1	35372
10060	1	54199
10060	1	51289
71189	1	54199
71189	1	51289
71189	1	40277
71189	1	18156
47730	1	54199
47730	1	51289
47730	1	35372
47730	1	35498
55637	1	54199
55637	1	51289
55637	1	35372
55637	1	24785
40946	1	54199
40946	1	51289
40946	1	40277
40946	1	10228
34490	1	54199
34490	1	51289
34490	1	10228
48673	1	54199
48673	1	51289
48673	1	10228
3145	1	54199
3145	1	51289
3145	1	50206
3145	1	25787
